Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,Cody Wilson pinch hits for Kyle McGowin (P) batting 9th,Cody Wilson pinch hits for Kyle McGowin (P) batting 9th,Cody Wilson pinch hits for Kyle McGowin (P) batting 9th
b3,5-6,2,---,6(3-2) .CBBFBX,O,WSN,Cody Wilson,Josh Tomlin,2%,67%,Flyball: CF (Deep CF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.,0 runs 0 hits 0 errors 0 LOB. Braves 6 Nationals 5.
Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3,Top of the 4th Braves Batting Ahead 6-5 Nationals' Sam Clay facing 1-2-3
,,,,,,,,,Sam Clay replaces Cody Wilson (PH) pitching and batting 9th,Sam Clay replaces Cody Wilson (PH) pitching and batting 9th,Sam Clay replaces Cody Wilson (PH) pitching and batting 9th
t4,6-5,0,---,1(0-0) .X,,ATL,Ronald Acuna Jr.,Sam Clay,4%,70%,Single to RF (Line Drive)
t4,6-5,0,1--,2(1-0) BX,O,ATL,Ozzie Albies,Sam Clay,-2%,69%,Groundout: P-1B (Weak SS-2B); Acuna to 2B
t4,6-5,1,-2-,6(3-2) BBBCCC,O,ATL,Freddie Freeman,Sam Clay,-4%,65%,Strikeout Looking
t4,6-5,2,-2-,6(3-2) BBBFSS,O,ATL,Marcell Ozuna,Sam Clay,-4%,61%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Braves 6 Nationals 5.,0 runs 1 hit 0 errors 1 LOB. Braves 6 Nationals 5.,0 runs 1 hit 0 errors 1 LOB. Braves 6 Nationals 5.
